energy: 0.130000, zcr: 11.000000
energy: 0.190000, zcr: 17.000000
energy: 0.230000, zcr: 19.000000
energy: 0.180000, zcr: 16.000000
energy: 0.210000, zcr: 15.000000
energy: 0.120000, zcr: 12.000000
energy: 0.120000, zcr: 11.000000
energy: 0.270000, zcr: 25.000000
energy: 0.190000, zcr: 17.000000
energy: 0.210000, zcr: 17.000000
energy: 0.190000, zcr: 19.000000
energy: 0.190000, zcr: 16.000000
energy: 0.260000, zcr: 22.000000
energy: 0.150000, zcr: 14.000000
energy: 0.220000, zcr: 22.000000
energy: 0.210000, zcr: 18.000000
energy: 0.220000, zcr: 18.000000
energy: 0.290000, zcr: 25.000000
energy: 0.160000, zcr: 15.000000
energy: 0.220000, zcr: 19.000000
energy: 0.190000, zcr: 17.000000
energy: 0.190000, zcr: 17.000000
energy: 0.140000, zcr: 10.000000
energy: 0.200000, zcr: 19.000000
energy: 0.120000, zcr: 10.000000
energy: 0.200000, zcr: 18.000000
energy: 0.200000, zcr: 17.000000
energy: 0.230000, zcr: 20.000000
energy: 0.190000, zcr: 13.000000
energy: 0.140000, zcr: 14.000000
energy: 0.110000, zcr: 10.000000
energy: 0.240000, zcr: 21.000000
energy: 0.190000, zcr: 18.000000
energy: 0.210000, zcr: 17.000000
energy: 0.200000, zcr: 20.000000
energy: 0.170000, zcr: 14.000000
energy: 0.270000, zcr: 24.000000
energy: 0.150000, zcr: 13.000000
energy: 0.220000, zcr: 21.000000
energy: 0.230000, zcr: 21.000000
energy: 0.190000, zcr: 18.000000
energy: 0.320000, zcr: 25.000000
energy: 0.180000, zcr: 17.000000
energy: 0.170000, zcr: 15.000000
energy: 0.200000, zcr: 17.000000
energy: 0.200000, zcr: 18.000000
energy: 0.100000, zcr: 8.000000
energy: 0.220000, zcr: 18.000000
energy: 0.160000, zcr: 15.000000
energy: 0.170000, zcr: 15.000000
energy: 0.160000, zcr: 15.000000
energy: 0.280000, zcr: 24.000000
energy: 0.190000, zcr: 12.000000
energy: 2274.030000, zcr: 9.000000
energy: 2231.100000, zcr: 9.000000
energy: 62.320000, zcr: 14.000000
energy: 85.240000, zcr: 14.000000
energy: 65.640000, zcr: 12.000000
energy: 60.030000, zcr: 13.000000
energy: 81.970000, zcr: 8.000000
energy: 60.010000, zcr: 12.000000
energy: 277571.020000, zcr: 11.000000
energy: 128794.280000, zcr: 0.000000
energy: 16914.460000, zcr: 1.000000
energy: 3722.180000, zcr: 3.000000
energy: 113.250000, zcr: 18.000000
energy: 63.720000, zcr: 13.000000
energy: 123.430000, zcr: 7.000000
energy: 90.490000, zcr: 12.000000
energy: 34.290000, zcr: 16.000000
energy: 68.540000, zcr: 11.000000
